,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium,Gender_F
10158,3,3,257,3,5,4937,0,0,0,1,0,0,0,1,0,1,0,0
8743,4,4,183,2,7,4572,0,0,0,0,1,0,1,0,0,1,0,1
777,5,1,234,2,12,2372,0,1,0,0,0,0,0,1,0,1,0,0
9806,4,1,150,2,5,4133,1,0,0,0,0,0,0,1,0,1,0,0
3838,4,1,190,4,5,5570,0,0,1,0,0,1,0,0,0,0,1,1
6055,2,3,185,3,7,4246,0,0,0,0,1,0,0,1,0,0,1,1
7821,5,5,142,4,8,5372,0,1,0,0,0,1,0,0,0,0,1,0
3278,3,4,211,2,6,6000,1,0,0,0,0,0,1,0,0,1,0,0
8671,5,1,259,3,1,5725,0,0,0,0,1,0,0,1,0,1,0,0
7881,4,4,152,3,8,4430,0,1,0,0,0,0,0,1,0,1,0,0
5638,4,1,177,3,5,4382,0,0,1,0,0,0,0,1,0,0,1,1
3851,2,3,263,3,10,4779,0,0,0,0,1,1,0,0,0,0,1,1
9450,7,4,296,4,10,1033,0,0,0,1,0,1,0,0,0,1,0,1
8598,6,3,278,4,9,1368,0,0,0,1,0,0,0,1,0,1,0,1
2013,5,3,174,5,47,1909,0,1,0,0,0,0,0,1,0,0,1,0
9492,5,2,169,5,2,4542,0,0,0,1,0,0,0,1,0,0,1,1
7899,5,5,261,5,9,5385,0,1,0,0,0,0,0,1,0,0,1,0
9709,4,3,219,6,2,1634,0,0,0,0,1,0,1,0,0,0,1,1
6781,5,1,142,6,1,4843,0,0,0,0,1,0,0,1,0,0,1,0
3055,4,2,247,5,17,3630,0,0,0,0,1,0,0,1,0,0,1,1
3637,5,5,136,3,4,4218,0,0,0,0,1,0,0,1,0,1,0,0
9438,6,4,205,4,10,1974,0,0,0,1,0,0,1,0,0,1,0,1
2756,3,5,98,3,48,1635,1,0,0,0,0,1,0,0,0,0,1,1
5476,4,5,263,4,7,4243,0,0,1,0,0,1,0,0,0,0,1,1
712,4,2,201,3,39,2066,0,0,1,0,0,0,0,1,0,0,1,1
1528,4,5,146,4,25,1606,0,0,1,0,0,0,0,1,0,1,0,1
8823,6,2,305,4,9,1567,0,1,0,0,0,0,0,1,0,1,0,1
9013,3,5,162,3,1,4432,0,0,0,0,1,0,0,1,0,0,1,1
9362,6,1,264,4,9,1243,1,0,0,0,0,0,0,1,0,1,0,0
8230,5,1,266,3,8,4786,0,0,1,0,0,1,0,0,0,1,0,0
1569,5,1,129,5,35,1458,0,1,0,0,0,0,0,1,0,0,1,0
722,5,3,150,2,2,1682,1,0,0,0,0,0,0,1,0,1,0,0
6129,4,2,266,3,7,5121,0,1,0,0,0,0,0,1,0,0,1,0
9534,3,1,131,6,8,5352,0,0,0,1,0,0,0,1,0,0,1,0
7758,5,4,217,5,5,1360,0,0,0,1,0,0,0,1,0,1,0,1
6327,5,2,135,3,9,5173,0,1,0,0,0,0,0,1,0,0,1,0
2831,4,2,167,3,21,1637,0,0,0,0,1,0,0,1,0,1,0,0
3760,4,3,197,2,7,5449,0,0,1,0,0,0,0,1,0,1,0,0
9452,4,4,275,5,7,1562,1,0,0,0,0,1,0,0,0,0,1,0
4785,3,4,211,3,1,5144,0,1,0,0,0,0,1,0,1,0,0,0
8667,5,5,193,3,3,5037,0,1,0,0,0,0,0,1,0,1,0,1
8151,4,3,163,3,10,5002,0,1,0,0,0,0,0,1,0,1,0,1
9606,3,1,168,4,9,5136,0,0,0,1,0,1,0,0,0,0,1,1
5574,5,2,243,3,8,4133,0,0,0,1,0,0,0,1,0,1,0,1
7352,5,1,163,3,1,5194,1,0,0,0,0,0,0,1,0,0,1,1
5431,4,4,261,3,9,5515,0,0,0,0,1,0,0,1,1,0,0,0
4337,3,2,160,3,4,4683,0,0,0,0,1,0,0,1,0,1,0,1
8167,4,2,185,3,1,4786,0,0,0,0,1,0,0,1,0,1,0,0
10715,5,2,254,5,4,1926,0,0,0,0,1,0,0,1,0,0,1,1
6630,3,3,145,3,8,4522,0,0,0,1,0,0,0,1,0,0,1,1
10831,5,4,145,2,2,4753,0,0,0,0,1,1,0,0,0,1,0,0
6181,3,4,201,3,7,4887,0,0,0,0,1,1,0,0,1,0,0,0
6358,4,4,272,4,4,4363,0,0,1,0,0,0,0,1,0,0,1,0
2079,5,4,228,3,42,3145,0,1,0,0,0,0,0,1,0,0,1,0
4302,4,1,159,3,4,4574,0,0,0,1,0,0,0,1,0,1,0,0
8798,3,5,268,3,6,4172,1,0,0,0,0,0,0,1,0,1,0,1
3545,4,3,186,3,7,5156,0,0,0,0,1,0,1,0,0,1,0,0
4148,2,3,141,4,8,4702,1,0,0,0,0,0,0,1,0,0,1,0
5377,5,1,170,4,6,5258,0,0,0,0,1,0,0,1,1,0,0,0
5402,4,5,142,2,7,4594,1,0,0,0,0,0,0,1,0,0,1,1
1683,3,3,250,3,9,2752,0,1,0,0,0,0,0,1,0,0,1,0
1945,4,1,160,2,28,1276,0,0,0,0,1,0,0,1,0,1,0,0
3324,3,2,237,3,8,5287,0,0,0,1,0,0,0,1,0,1,0,0
3764,5,4,241,3,6,4157,1,0,0,0,0,0,0,1,1,0,0,0
1564,4,1,238,2,3,2241,0,0,1,0,0,0,0,1,0,1,0,1
2812,3,2,173,3,37,1990,0,0,1,0,0,0,0,1,0,0,1,1
5866,4,4,206,2,8,4093,0,0,1,0,0,0,1,0,1,0,0,0
3503,4,2,209,2,1,5337,0,0,0,0,1,0,0,1,0,0,1,1
4022,5,5,194,4,4,4003,1,0,0,0,0,0,0,1,0,0,1,1
862,5,4,269,2,38,2770,0,0,1,0,0,0,0,1,0,0,1,0
1884,5,4,269,3,51,3415,0,0,0,1,0,0,0,1,0,0,1,1
5030,6,3,281,4,7,1599,1,0,0,0,0,0,0,1,0,0,1,1
147,4,3,146,4,24,1844,0,1,0,0,0,1,0,0,0,0,1,1
7454,3,3,177,4,4,1560,1,0,0,0,0,0,0,1,0,0,1,1
5258,7,3,310,4,8,1860,1,0,0,0,0,0,0,1,0,0,1,0
10078,4,5,258,3,3,5422,0,0,1,0,0,0,0,1,0,1,0,1
8959,5,1,167,3,9,4660,0,0,0,0,1,0,0,1,0,1,0,0
10596,3,1,167,3,4,5943,0,0,0,1,0,0,0,1,0,1,0,1
4082,6,2,144,7,1,5501,1,0,0,0,0,0,0,1,1,0,0,0
914,3,1,255,2,42,3459,1,0,0,0,0,0,0,1,0,0,1,0
171,4,4,176,4,52,1096,0,1,0,0,0,0,0,1,1,0,0,1
8854,3,1,138,10,4,4496,0,0,1,0,0,0,0,1,0,1,0,1
1282,3,4,216,3,41,2042,0,0,1,0,0,0,0,1,0,1,0,1
6507,6,4,309,4,9,1771,0,1,0,0,0,0,0,1,0,1,0,0
9215,3,4,162,3,7,5313,0,0,0,0,1,0,0,1,0,0,1,0
4964,4,1,177,2,6,5566,1,0,0,0,0,0,0,1,0,0,1,0
8748,4,5,258,3,8,4046,0,0,0,1,0,0,1,0,0,1,0,0
9525,3,5,251,3,1,5073,0,1,0,0,0,0,0,1,0,1,0,0
944,4,5,274,10,5,3910,1,0,0,0,0,0,1,0,0,0,1,1
6280,6,3,298,4,1,1657,0,0,1,0,0,0,1,0,0,1,0,1
9421,5,2,172,2,9,1097,0,0,0,0,1,0,0,1,0,1,0,0
8528,5,3,230,3,7,4844,1,0,0,0,0,0,0,1,0,0,1,1
9937,7,1,310,4,8,1601,0,0,0,0,1,0,0,1,0,0,1,1
7056,3,1,226,2,4,4804,0,0,0,1,0,0,0,1,0,1,0,0
3714,3,4,154,3,2,4990,0,0,0,1,0,1,0,0,0,1,0,1
1921,6,4,194,3,10,2554,0,0,0,0,1,1,0,0,0,1,0,0
4738,3,5,244,2,10,4064,0,0,1,0,0,0,0,1,0,0,1,1
4858,5,4,193,4,4,5757,0,0,1,0,0,0,0,1,1,0,0,1
10298,5,5,148,4,4,5909,1,0,0,0,0,0,0,1,0,0,1,1
9392,4,5,157,2,1,5054,1,0,0,0,0,0,0,1,0,0,1,1
6034,7,5,258,4,4,1677,0,0,1,0,0,1,0,0,0,1,0,1
1807,5,1,180,2,35,1204,0,0,0,0,1,0,0,1,0,1,0,0
7277,3,5,207,4,10,4092,0,0,0,0,1,1,0,0,0,1,0,0
287,4,4,149,3,34,1977,0,0,0,0,1,1,0,0,0,1,0,0
1212,2,4,187,3,50,3878,0,0,0,1,0,0,1,0,0,1,0,0
6509,5,5,265,5,1,1568,0,0,0,0,1,0,0,1,0,0,1,0
7480,7,2,272,4,9,1188,0,0,1,0,0,0,0,1,0,0,1,0
7471,7,2,282,5,6,1744,0,0,0,0,1,0,0,1,0,1,0,0
7648,4,4,262,2,1,4357,0,0,1,0,0,0,1,0,0,0,1,0
9335,3,3,144,3,8,5727,0,0,0,0,1,0,0,1,0,0,1,0
9334,5,4,242,4,5,5375,0,0,1,0,0,0,0,1,0,0,1,1
5748,4,4,258,7,8,5069,0,0,0,1,0,0,1,0,0,0,1,0
7040,4,1,260,2,2,4529,1,0,0,0,0,0,0,1,0,0,1,1
2246,3,2,177,2,23,1929,1,0,0,0,0,0,0,1,0,0,1,1
2510,3,2,143,6,63,1953,1,0,0,0,0,0,0,1,0,0,1,0
10074,4,3,136,4,10,5911,0,0,0,1,0,0,0,1,0,1,0,0
7284,5,4,257,2,10,5095,0,0,0,1,0,0,0,1,0,0,1,0
2436,3,1,169,2,19,1183,0,0,0,1,0,0,0,1,0,0,1,1
2970,4,3,184,3,37,3436,0,0,0,1,0,0,0,1,0,1,0,1
9024,4,2,253,5,3,4676,0,0,0,1,0,0,1,0,0,1,0,1
3690,4,4,251,3,5,5460,0,0,0,1,0,0,1,0,1,0,0,1
6022,6,1,295,4,6,1611,0,0,1,0,0,0,1,0,0,0,1,1
181,4,5,157,3,20,1487,0,0,0,0,1,0,0,1,0,1,0,0
6744,3,5,168,3,7,4296,0,0,0,1,0,0,0,1,0,0,1,0
8190,3,3,231,3,9,4623,0,0,0,1,0,0,0,1,0,0,1,1
71,5,5,230,2,2,2229,0,0,0,0,1,0,0,1,0,1,0,1
9077,3,2,247,2,1,4242,0,0,0,0,1,0,0,1,1,0,0,0
8772,3,3,196,4,9,5631,0,0,0,1,0,1,0,0,0,1,0,1
2034,3,5,243,2,42,3421,0,0,0,1,0,0,1,0,0,0,1,0
3562,3,1,203,3,3,4137,0,0,1,0,0,1,0,0,0,0,1,1
7011,4,2,198,6,5,4659,0,1,0,0,0,0,0,1,0,0,1,0
6496,6,2,261,4,8,1891,0,0,1,0,0,0,0,1,0,0,1,0
8200,3,3,169,3,7,5976,0,0,1,0,0,0,1,0,0,1,0,1
10751,5,5,244,6,1,1222,0,0,0,0,1,0,0,1,0,1,0,1
9763,6,5,211,6,3,4957,0,0,0,0,1,0,0,1,0,1,0,0
2903,6,4,192,3,19,2944,0,0,0,0,1,0,0,1,1,0,0,1
8369,4,1,222,2,10,4714,0,0,0,0,1,1,0,0,0,1,0,1
3625,3,4,165,2,8,4280,0,0,0,0,1,0,0,1,0,0,1,1
9006,6,3,166,4,10,5783,0,0,0,1,0,0,0,1,0,1,0,0
2499,3,4,240,2,8,3883,0,1,0,0,0,0,0,1,0,1,0,0
10030,4,4,186,3,8,4969,0,0,1,0,0,0,0,1,0,1,0,1
10796,3,5,156,4,6,1015,1,0,0,0,0,0,1,0,0,1,0,1
3266,3,1,216,4,4,4416,1,0,0,0,0,0,1,0,0,0,1,1
8720,3,3,187,2,7,4859,1,0,0,0,0,0,0,1,0,1,0,1
1131,3,3,148,5,61,1452,0,1,0,0,0,0,0,1,0,0,1,0
4042,2,3,187,3,6,5547,0,0,1,0,0,0,0,1,0,0,1,1
4645,4,1,140,5,6,4001,0,0,0,0,1,0,1,0,0,0,1,0
215,2,5,158,3,40,1722,0,0,0,0,1,0,0,1,0,1,0,1
243,2,4,136,3,43,1958,0,1,0,0,0,0,0,1,0,1,0,0
582,2,5,144,3,61,1313,0,0,0,1,0,0,0,1,0,0,1,0
4168,3,5,228,2,6,5893,0,0,1,0,0,0,0,1,0,1,0,0
7307,2,5,101,3,10,4353,0,0,0,0,1,0,0,1,0,1,0,0
2682,4,4,279,5,56,2697,0,0,0,1,0,0,0,1,0,0,1,1
8005,6,3,247,4,6,1537,0,0,0,0,1,0,0,1,0,1,0,1
3765,4,4,247,2,6,5833,0,1,0,0,0,0,0,1,0,0,1,1
9170,5,3,257,5,7,1451,1,0,0,0,0,0,1,0,0,1,0,1
10126,6,4,286,4,5,4262,0,0,1,0,0,0,1,0,0,0,1,1
6789,4,4,207,10,1,4602,0,1,0,0,0,0,0,1,0,1,0,1
2437,4,5,206,3,65,2598,0,0,0,0,1,0,0,1,0,1,0,1
3897,4,4,207,3,9,4314,0,1,0,0,0,0,0,1,0,1,0,0
3585,4,5,214,2,3,5546,0,1,0,0,0,0,0,1,0,1,0,0
4581,6,3,213,4,2,5349,0,1,0,0,0,0,0,1,0,1,0,1
4674,2,1,177,4,5,4358,0,0,0,1,0,1,0,0,0,1,0,1
5221,6,5,256,5,10,1686,0,0,0,0,1,1,0,0,0,1,0,0
3181,3,5,149,3,9,5412,0,0,0,0,1,0,0,1,0,1,0,1
5607,3,1,166,2,9,5853,0,1,0,0,0,0,1,0,0,0,1,1
124,5,5,222,3,10,2280,0,0,1,0,0,0,1,0,0,1,0,0
10966,5,5,246,5,6,1300,0,0,1,0,0,1,0,0,0,1,0,1
9557,4,5,184,3,5,4039,0,0,0,0,1,0,0,1,0,1,0,0
5119,3,5,197,3,4,5423,0,0,0,0,1,0,0,1,0,1,0,0
4446,6,3,219,4,6,4885,0,0,0,1,0,0,0,1,0,0,1,0
1673,2,1,137,5,3,1037,0,0,0,0,1,0,0,1,0,0,1,1
7074,4,4,213,3,1,4266,0,0,0,1,0,0,0,1,0,1,0,1
8129,4,4,104,4,6,4323,0,0,0,0,1,0,0,1,0,1,0,0
8617,5,2,254,6,5,1951,0,0,0,0,1,0,1,0,0,1,0,1
5623,2,1,226,2,1,5576,0,0,0,0,1,1,0,0,0,0,1,1
655,2,3,264,2,63,2896,0,0,0,0,1,0,0,1,0,1,0,1
7121,4,5,98,4,5,5188,0,0,0,0,1,1,0,0,0,1,0,0
4326,5,4,132,6,8,1327,0,0,0,1,0,0,0,1,0,1,0,1
2691,5,5,133,2,18,1134,0,1,0,0,0,0,0,1,0,1,0,1
7385,3,1,146,10,5,4032,0,0,0,0,1,0,1,0,0,1,0,1
3392,4,3,296,2,9,1523,1,0,0,0,0,0,0,1,0,0,1,1
857,5,2,239,5,24,2472,0,0,0,0,1,0,0,1,0,0,1,0
9587,5,1,170,4,4,5113,0,0,0,0,1,1,0,0,0,0,1,0
9984,6,3,235,3,7,4829,0,0,0,1,0,0,1,0,0,1,0,1
3689,4,3,266,3,9,5621,0,0,0,0,1,0,1,0,0,1,0,0
2484,3,5,266,3,16,2334,0,0,0,1,0,0,0,1,0,0,1,0
10119,3,4,257,3,4,4883,0,1,0,0,0,0,1,0,0,1,0,1
9681,4,3,232,5,9,1856,0,1,0,0,0,0,0,1,0,1,0,1
79,3,5,257,2,56,3711,0,0,0,0,1,0,0,1,0,0,1,1
180,4,1,161,7,18,1294,0,0,0,1,0,0,0,1,0,0,1,1
6668,4,4,236,2,6,5101,1,0,0,0,0,0,0,1,0,0,1,1
10501,2,1,184,2,3,4331,0,0,0,0,1,0,0,1,1,0,0,1
7095,5,2,195,6,5,5339,0,1,0,0,0,0,0,1,1,0,0,0
6372,3,5,156,4,5,4661,0,0,0,1,0,0,0,1,0,1,0,0
5734,3,5,275,2,7,4619,0,0,1,0,0,0,1,0,0,1,0,1
5695,4,2,175,3,7,4874,0,0,0,0,1,0,0,1,0,0,1,0
1497,3,2,180,2,53,1853,0,1,0,0,0,0,1,0,0,1,0,0
10427,3,4,149,3,3,4540,0,0,0,0,1,1,0,0,0,0,1,1
6246,3,3,126,10,10,4128,0,0,0,1,0,0,0,1,0,1,0,0
2926,3,1,269,3,47,3033,0,0,1,0,0,0,0,1,0,1,0,0
8436,3,1,247,4,8,5376,0,0,0,1,0,0,0,1,0,1,0,1
7768,5,3,238,5,10,1841,0,0,1,0,0,0,0,1,1,0,0,0
3785,5,5,184,3,5,5045,0,0,0,0,1,0,0,1,0,1,0,1
4764,3,4,191,2,8,5667,0,0,0,1,0,0,0,1,0,0,1,0
9217,4,5,200,4,2,4947,0,0,0,0,1,0,0,1,0,0,1,1
10239,5,2,218,3,4,5363,0,1,0,0,0,0,0,1,0,1,0,0
1588,5,4,185,4,31,3565,0,0,1,0,0,0,0,1,0,0,1,0
7795,3,1,160,2,10,5642,0,0,0,0,1,0,1,0,0,1,0,1
2134,4,1,202,2,40,2327,0,0,1,0,0,0,0,1,0,1,0,0
6206,3,2,177,4,3,4199,1,0,0,0,0,0,0,1,0,1,0,1
8407,6,5,167,2,10,4013,0,0,0,0,1,0,0,1,0,1,0,0
9598,6,1,215,4,1,4581,0,0,1,0,0,1,0,0,0,1,0,0
7536,2,5,263,4,4,4042,0,0,0,1,0,1,0,0,0,0,1,1
1487,6,1,219,6,10,2385,0,0,0,0,1,0,1,0,0,1,0,1
9027,3,4,156,3,4,4628,0,1,0,0,0,0,1,0,0,1,0,0
3085,4,1,213,3,21,3585,0,0,0,0,1,0,0,1,0,1,0,1
7730,4,5,247,5,9,1499,1,0,0,0,0,0,0,1,0,1,0,0
4716,3,5,260,2,1,5970,0,0,0,1,0,0,0,1,0,0,1,0
4524,2,4,170,5,10,5448,0,0,0,1,0,1,0,0,0,1,0,0
7596,3,5,224,2,10,4380,0,0,0,1,0,0,0,1,0,1,0,1
6386,3,2,167,3,5,5995,1,0,0,0,0,0,0,1,0,0,1,0
9528,5,4,273,2,1,5008,0,0,0,1,0,0,0,1,0,1,0,1
376,2,3,157,2,45,1965,0,0,1,0,0,0,0,1,0,1,0,0
10727,5,4,219,5,10,1363,0,0,0,0,1,0,0,1,0,1,0,0
5361,4,2,251,2,10,4898,0,1,0,0,0,0,0,1,0,1,0,1
5312,5,5,257,3,5,5084,1,0,0,0,0,0,0,1,0,0,1,1
9178,4,3,267,5,9,1538,0,0,1,0,0,1,0,0,0,0,1,1
4023,3,4,175,3,6,5503,0,1,0,0,0,0,0,1,0,1,0,0
6892,5,5,268,5,10,1906,0,0,1,0,0,0,0,1,0,0,1,1
1281,3,3,110,3,7,1235,0,1,0,0,0,0,0,1,0,1,0,0
6941,4,1,264,2,3,5258,0,0,0,0,1,0,0,1,0,1,0,1
3248,4,3,148,3,7,5034,1,0,0,0,0,0,0,1,1,0,0,1
2507,3,1,183,2,58,3027,0,0,0,0,1,0,0,1,0,1,0,0
2463,5,5,216,6,54,2075,0,1,0,0,0,1,0,0,0,1,0,0
2374,4,1,270,4,64,3312,0,0,1,0,0,0,0,1,0,0,1,1
10897,4,3,242,2,9,4876,0,0,0,0,1,0,0,1,0,1,0,0
3842,5,4,172,2,5,4554,1,0,0,0,0,1,0,0,0,1,0,0
7928,4,1,137,3,3,4962,1,0,0,0,0,0,1,0,0,0,1,1
6179,3,4,171,3,5,4310,0,0,0,0,1,1,0,0,0,0,1,1
5048,5,1,260,2,4,5580,1,0,0,0,0,0,1,0,0,1,0,0
7988,4,2,269,10,2,5616,1,0,0,0,0,0,0,1,1,0,0,0
2054,3,1,145,2,28,1313,1,0,0,0,0,1,0,0,0,1,0,0
5051,3,1,149,3,5,4805,0,0,0,0,1,0,1,0,0,0,1,0
6725,4,1,152,3,3,4250,0,0,0,0,1,1,0,0,0,0,1,1
9387,3,2,177,3,9,5427,0,1,0,0,0,0,0,1,0,1,0,1
10653,2,2,157,3,9,4547,0,1,0,0,0,0,0,1,0,0,1,1
1922,5,5,161,3,59,1037,1,0,0,0,0,1,0,0,0,0,1,1
733,4,4,197,7,22,2065,0,0,0,0,1,0,0,1,0,0,1,1
1361,3,4,240,3,28,2356,0,0,0,0,1,0,1,0,0,1,0,1
88,3,3,229,3,49,2339,0,0,1,0,0,0,0,1,0,1,0,0
1183,4,1,193,2,37,3510,0,0,0,0,1,0,0,1,1,0,0,0
3179,3,2,153,10,7,5305,0,0,0,0,1,0,0,1,1,0,0,1
8496,2,1,112,5,1,4543,0,0,0,1,0,1,0,0,0,1,0,1
8608,5,3,236,5,10,1630,0,0,1,0,0,0,1,0,0,0,1,0
7624,5,1,210,2,2,4079,0,0,1,0,0,0,0,1,0,1,0,0
838,2,4,168,3,15,1886,0,0,1,0,0,1,0,0,0,1,0,1
4891,3,4,197,2,3,4865,0,0,0,0,1,0,0,1,0,1,0,1
7054,4,2,181,3,6,5964,0,0,1,0,0,0,0,1,0,0,1,0
4586,3,1,145,3,10,4364,1,0,0,0,0,0,0,1,1,0,0,1
5690,3,5,143,3,10,5021,1,0,0,0,0,0,0,1,0,1,0,1
749,4,5,185,3,17,2824,0,0,0,0,1,0,0,1,0,0,1,0
5069,3,5,156,3,2,4190,0,0,0,0,1,1,0,0,0,0,1,1
2900,3,3,274,3,6,2986,1,0,0,0,0,0,0,1,0,1,0,0
4664,3,3,178,4,3,4154,1,0,0,0,0,1,0,0,1,0,0,0
3705,3,2,269,2,1,4978,0,1,0,0,0,1,0,0,0,0,1,1
820,3,1,186,3,11,3800,0,0,1,0,0,1,0,0,0,0,1,1
7910,4,4,254,3,7,5637,1,0,0,0,0,0,0,1,0,1,0,0
8895,6,4,249,4,2,1516,0,1,0,0,0,0,1,0,0,1,0,0
9581,4,4,280,3,5,5624,0,0,0,0,1,0,1,0,0,0,1,0
4565,6,2,282,5,5,1818,0,0,0,0,1,0,0,1,0,0,1,0
4058,4,2,249,2,7,5876,1,0,0,0,0,0,0,1,0,0,1,1
5968,6,2,257,4,1,1513,0,0,1,0,0,0,0,1,0,0,1,0
9744,5,1,238,5,5,5854,0,0,0,1,0,0,0,1,0,1,0,1
9816,3,3,201,3,2,5540,0,0,0,1,0,0,0,1,0,1,0,1
8998,5,4,145,4,4,4790,0,0,1,0,0,0,0,1,0,1,0,0
1378,3,1,110,3,54,1155,0,0,1,0,0,1,0,0,0,1,0,1
1962,2,1,165,4,57,1881,0,0,0,1,0,0,0,1,0,1,0,1
8248,3,4,209,2,10,4540,0,0,1,0,0,0,0,1,1,0,0,0
469,3,5,183,3,2,3459,0,0,0,0,1,0,0,1,0,1,0,1
7268,3,4,230,3,7,5891,1,0,0,0,0,1,0,0,0,0,1,1
1317,4,4,111,6,8,1145,0,1,0,0,0,0,0,1,0,1,0,0
2082,5,4,215,2,34,2713,0,0,0,1,0,0,0,1,0,0,1,0
10147,6,2,282,4,9,1385,0,0,0,0,1,1,0,0,0,0,1,1
9874,3,3,179,8,3,5429,0,0,1,0,0,1,0,0,1,0,0,1
3185,3,3,162,8,10,4842,0,0,0,0,1,0,0,1,1,0,0,1
5706,4,2,260,3,3,4661,0,0,0,1,0,0,0,1,0,0,1,1
8124,4,5,275,6,3,5008,0,0,0,1,0,0,0,1,0,1,0,0
3379,2,2,162,3,10,4489,0,0,0,0,1,0,0,1,1,0,0,0
9493,4,5,241,4,10,4126,0,0,0,0,1,0,0,1,0,0,1,1
7149,5,5,235,5,9,1032,0,1,0,0,0,0,0,1,0,0,1,0
8633,5,1,235,5,10,1920,0,0,0,0,1,1,0,0,0,1,0,1
1641,5,4,258,2,24,2878,0,1,0,0,0,1,0,0,0,0,1,1
2645,4,1,217,3,2,2692,0,0,0,0,1,0,0,1,0,0,1,0
2514,4,4,141,2,7,1479,0,0,0,1,0,0,0,1,0,1,0,0
5367,5,2,203,6,7,5289,0,1,0,0,0,0,0,1,0,0,1,1
3413,3,1,188,3,3,4222,0,0,0,0,1,0,1,0,0,1,0,0
8426,3,4,240,2,2,5661,1,0,0,0,0,0,0,1,0,0,1,1
9628,6,1,286,4,10,1177,0,0,1,0,0,0,0,1,0,0,1,0
5047,4,4,266,3,4,5905,0,0,0,0,1,0,1,0,0,1,0,0
8383,5,3,156,4,8,5868,0,0,0,0,1,0,0,1,0,0,1,1
4501,4,2,173,2,2,5327,0,0,0,0,1,0,1,0,0,0,1,0
6074,4,3,145,4,2,5735,1,0,0,0,0,0,0,1,0,0,1,0
5735,4,3,147,4,7,4865,0,0,0,0,1,0,1,0,0,1,0,1
10398,4,4,146,10,3,4152,0,0,0,1,0,0,1,0,0,1,0,1
5180,4,4,148,3,5,4892,1,0,0,0,0,0,1,0,0,0,1,1
3473,3,2,204,4,4,4745,0,0,0,0,1,0,0,1,0,1,0,0
387,5,2,173,3,7,1855,0,1,0,0,0,0,1,0,0,1,0,1
2361,3,2,165,3,19,1111,0,1,0,0,0,0,0,1,0,1,0,1
3009,5,4,147,6,21,1145,0,1,0,0,0,1,0,0,0,0,1,1
1313,2,5,186,2,17,3896,0,0,0,0,1,0,0,1,0,1,0,0
8438,6,5,246,5,3,4660,1,0,0,0,0,0,0,1,1,0,0,1
7132,3,1,266,7,5,4102,0,0,1,0,0,1,0,0,0,1,0,0
2125,3,1,152,2,25,1848,0,0,0,0,1,0,0,1,0,1,0,1
6279,6,1,286,4,3,1747,0,1,0,0,0,0,1,0,0,1,0,1
61,3,3,179,3,52,1158,0,0,0,0,1,0,0,1,0,0,1,0
3216,3,4,154,2,5,5735,0,0,0,1,0,0,0,1,0,0,1,0
6118,2,2,227,4,6,4104,0,0,1,0,0,0,0,1,0,0,1,0
1016,4,1,167,3,22,1403,1,0,0,0,0,0,0,1,1,0,0,1
2990,4,1,144,4,5,1294,1,0,0,0,0,0,1,0,1,0,0,0
7438,3,5,275,4,10,5066,0,0,1,0,0,0,0,1,0,0,1,0
7336,3,3,268,2,5,5195,0,0,1,0,0,0,0,1,1,0,0,1
5389,5,4,139,3,6,5721,0,0,0,0,1,0,0,1,0,0,1,1
2090,3,2,139,3,4,1546,1,0,0,0,0,0,0,1,1,0,0,1
4915,3,2,252,3,7,4507,0,0,0,0,1,0,1,0,0,0,1,0
2058,5,2,215,2,46,3942,0,0,0,1,0,1,0,0,0,0,1,0
6123,3,5,144,2,2,4629,0,1,0,0,0,0,0,1,0,0,1,0
10755,4,1,300,5,6,1027,0,1,0,0,0,0,0,1,0,0,1,0
3856,3,2,183,3,9,4282,0,0,1,0,0,0,0,1,0,0,1,0
6715,6,4,221,5,8,4511,0,0,0,0,1,1,0,0,0,0,1,0
3489,3,1,244,4,6,4734,0,1,0,0,0,0,0,1,0,0,1,0
7992,3,2,255,7,2,5282,0,0,0,1,0,0,0,1,0,0,1,0
2481,3,3,142,3,23,1897,0,1,0,0,0,1,0,0,0,0,1,0
7008,4,1,196,2,3,4752,0,0,0,1,0,0,0,1,0,1,0,0
9535,2,2,156,3,5,4151,0,0,0,0,1,0,0,1,0,1,0,1
10499,3,4,239,2,10,5674,0,0,0,0,1,0,0,1,0,1,0,1
1550,5,5,259,2,63,2583,1,0,0,0,0,0,0,1,0,0,1,0
6021,5,5,259,5,9,1624,0,1,0,0,0,0,1,0,0,1,0,1
770,3,4,179,4,44,1004,1,0,0,0,0,0,0,1,0,1,0,1
8940,4,2,185,2,3,5356,0,0,0,1,0,0,0,1,0,0,1,1
3732,5,5,273,4,1,5225,0,0,0,1,0,0,0,1,0,1,0,0
4712,4,1,151,6,7,4387,1,0,0,0,0,0,0,1,0,1,0,0
2210,5,1,137,2,52,1012,1,0,0,0,0,0,0,1,0,1,0,0
8625,5,3,237,5,2,1869,0,1,0,0,0,0,1,0,0,0,1,1
3067,5,5,180,4,10,1200,0,0,0,0,1,0,0,1,1,0,0,0
4234,4,3,259,3,1,4914,0,0,1,0,0,0,1,0,0,1,0,1
